"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
916;916;"29439";"Lüchow";"Wendlandstraße";"1"
927;927;"07937";"Zeulenroda-Triebes";"Triebeser Str.";"16"
928;928;"76461";"Muggensturm";"Heinkelstraße";"8a"
932;932;"76275";"Ettlingen";"Wiily-Brandt-Str.";"3"
936;936;"30173";"Hannover";"Freundallee";"9A"
946;946;"90429";"Nürnberg";"Roonstr.";"25"
950;950;"79539";"Lörrach";"Wallbrunnstr.";"24"
952;952;"59199";"Bönen";"Edisonstr.";"6"
955;955;"85737";"Ismaning";"Carl-Zeiss-Ring";"6"
956;956;"36396";"Steinau an der Straße";"Brüder-Grimm-Str.";"121"
963;963;"60528";"Frankfurt am Main";"Lyoner Straße";"36"
964;964;"82041";"Oberhaching";"Keltenring";"1-3"
965;965;"80538";"München";"Liebherrstr.";"22"
976;976;"66440";"Blieskastel";"Kirkeler Straße";"41"
977;977;"06796";"Brehna";"Münchener Str.";"15"
981;981;"10589";"Berlin";"Max-Dohrn-Str.";"8-10"
10069;10069;"38855";"Wernigerode";"Dornbergsweg";"35"
10071;10071;"39171";"Sülzetal / OT Osterweddingen";"Bielefelder Str.";"1"
10076;10076;"06406";"Bernburg";"Hallesche Landstr.";"105 b"
10086;10086;"07745";"Jena";"Otto-Schott-Straße";"15"
10094;10094;"01309";"Dresden";"Kyffhäuserstr.";"27"
10095;10095;"01139";"Dresden";"Leipziger Straße";"300"
10107;10107;"12489";"Berlin";"Glienicker Weg";"125"
10109;10109;"40764";"Langenfeld";"Elisabeth-Selbert-Str.";"11"
10111;10111;"10117";"Berlin";"Friedrichstrasse";"149"
10116;10116;"76327";"Berghausen";"Finkenstr.";"1"
10120;10120;"66663";"Merzig";"Im Holzhau";"8"
10121;10121;"66663";"Merzig";"Im Holzhau";"8"
10122;10122;"72108";"Rottenburg";"Rappenberghalde";"33"
10123;10123;"22946";"Trittau";"Otto-Hahn-Str.";"11"
10126;10126;"51381";"Leverkusen";"Fixheider Str.";"4"
10127;10127;"71638";"Ludwigsburg";"Solitudestr.";"40"
10130;10130;"54331";"Pellingen";"Hochwaldblick";"3-4"
10134;10134;"41470";"Neuss";"Johnson & Johnson Platz";"2"
10138;10138;"22419";"Hamburg";"Tarpenring";"12"
10141;10141;"45659";"Recklinghausen";"Forststr.";"7"
10144;10144;"86946";"Pflugdorf";"Gewerbestraße";"4"
10148;10148;"78244";"Gottmadingen";"Hauptstr.";"99"
10152;10152;"76532";"Baden-Baden";"Rheinstr.";"93-95"
10158;10158;"91052";"Erlangen";"Allee am Röthelheimpark";"11"
10162;10162;"13127";"Berlin";"Eddastr.";"43"
10166;10166;"88079";"Kressbronn";"Heidachstr.";"62"
10174;10174;"65205";"Wiesbaden";"Max-Planck-Ring";"2"
10177;10177;"47533";"Kleve";"Thaerstraße";"4a"
10182;10182;"79677";"Schönau";"Aiterfeld";"1"
10186;10186;"06120";"Halle/Saale";"Daniel-Vorländer-Str.";"2"
10194;10194;"37079";"Göttingen";"Ernst-Ruhstrat-Str.";"5"
10205;10205;"86152";"Augsburg";"Peutinger Str.";"3"
10211;10211;"24941";"Flensburg";"Schleswiger Str.";"74"
10215;10215;"85276";"Pfaffenhofen";"Georg-Hipp-Str.";"7"
10223;10223;"82031";"Grünwald";"Lil-Dagover-Ring";"7"
10230;10230;"82041";"Oberhachung";"Keltenring";"17"
10242;10242;"90475";"Nürnberg";"Am Flachmoor";"16"
10243;10243;"82152";"Martinsried";"Lochhamer Str.";"13"
10245;10245;"51368";"Leverkusen";"Kaiser-Wilhelm-Allee Gebäude K";"56"
10252;10252;"82335";"Berg";"Seestr.";"76"
10254;10254;"27318";"Hoya";"Hasseler Steinweg";"9-12"
10264;10264;"35440";"Linden";"Waldstr.";"67b"
10269;10269;"72280";"Dornstetten";"";""
10270;10270;"87751";"Heimertingen";"Alpenstraße";"15"
10280;10280;"42277";"Wuppertal";"Tütersburg";"37"
10288;10288;"34131";"Kassel";"Landgraf-Karl-Str.";"38"
10296;10296;"35614";"Aßlar-Werdorf";"Alte Chaussee";"2"
10300;10300;"64409";"Messel";"Langgasse";"63"
10310;10310;"66773";"Schwalbach/Elm";"Püttlinger Str.";"121"
10330;10330;"90403";"Nürnberg";"Theresienplatz";"2-4"
10331;10331;"12169";"Berlin";"Selerweg";"43-45"
10335;10335;"35641";"Schwalbach";"Steinstr.";"5"
10338;10338;"29559";"Wrestedt/Stederdorf";"Fuhrenkamp";"7"
10346;10346;"40721";"Hilden";"Herderstr.";"31"
10350;10350;"95326";"Kulmbach";"Hans-Dill-Str.";"9"
10358;10358;"76229";"Karlsruhe";"Greschbachstraße";"7"
10382;10382;"69190";"Walldorf/Baden";"Robert-Bosch-Str.";"62"
